Open,High,Low,Close,CloseBkp,Datetime
132.99888939248046,133.9450505900452,132.0819896848388,132.19903564453125,132.19903564453125,2024-07-08 06:00:00+02:00
,,,131.5894012451172,131.5894012451172,2024-07-08 18:00:00+02:00
131.9356769817601,132.53068545990962,130.63836292665485,130.97976684570312,130.97976684570312,2024-07-09 06:00:00+02:00
,,,131.64793395996094,131.64793395996094,2024-07-09 18:00:00+02:00
131.03829954698725,132.42339818098168,130.52132663724888,132.31610107421875,132.31610107421875,2024-07-10 06:00:00+02:00
,,,133.57927703857422,133.57927703857422,2024-07-10 18:00:00+02:00
132.55020347328414,135.63254308819495,132.43315750028802,134.8424530029297,134.8424530029297,2024-07-11 06:00:00+02:00
,,,136.84693908691406,136.84693908691406,2024-07-11 18:00:00+02:00
135.58375322246104,139.85610934580222,135.28137457149742,138.85142517089844,138.85142517089844,2024-07-12 06:00:00+02:00
,,,139.72930145263672,139.72930145263672,2024-07-13 18:00:00+02:00
139.4951964399985,141.68014866919853,139.24159189348083,140.607177734375,140.607177734375,2024-07-15 06:00:00+02:00
,,,142.1581039428711,142.1581039428711,2024-07-15 18:00:00+02:00
140.49013222039122,143.94313696074033,140.49013222039122,143.7090301513672,143.7090301513672,2024-07-16 06:00:00+02:00
,,,143.7334213256836,143.7334213256836,2024-07-16 18:00:00+02:00
143.37739821532975,144.15772452374136,142.8018874697863,143.7578125,143.7578125,2024-07-17 06:00:00+02:00
,,,142.4800033569336,142.4800033569336,2024-07-17 18:00:00+02:00
142.431236424343,144.508876794457,140.89981553788354,141.2021942138672,141.2021942138672,2024-07-18 06:00:00+02:00
,,,141.4070281982422,141.4070281982422,2024-07-18 18:00:00+02:00
142.28490623529396,142.29466998802627,139.7195546237213,141.6118621826172,141.6118621826172,2024-07-19 06:00:00+02:00
,,,141.6118621826172,141.6118621826172,2024-07-20 18:00:00+02:00
142.16786027266127,142.5775360256451,140.1584918673633,141.6118621826172,141.6118621826172,2024-07-22 06:00:00+02:00
,,,133.07691955566406,133.07691955566406,2024-07-22 18:00:00+02:00
126.94151599897066,129.00940746468711,121.90833848234622,124.54197692871094,124.54197692871094,2024-07-23 06:00:00+02:00
,,,124.9565315246582,124.9565315246582,2024-07-23 18:00:00+02:00
123.40073542032984,126.07339169833068,121.73276339417504,125.37108612060548,125.37108612060548,2024-07-24 06:00:00+02:00
,,,124.66390609741212,124.66390609741212,2024-07-24 18:00:00+02:00
126.09290429911492,126.36602148109736,123.4299968910162,123.95672607421876,123.95672607421876,2024-07-25 06:00:00+02:00
,,,124.81021881103516,124.81021881103516,2024-07-25 18:00:00+02:00
125.67346041695228,126.6683957646999,125.3028099021205,125.66371154785156,125.66371154785156,2024-07-26 06:00:00+02:00
,,,125.55641555786131,125.55641555786131,2024-07-27 18:00:00+02:00
125.9660924309401,126.06364065874438,124.51271462765244,125.4491195678711,125.4491195678711,2024-07-29 06:00:00+02:00
,,,125.65396118164062,125.65396118164062,2024-07-29 18:00:00+02:00
125.53691148509652,127.64382830691088,125.30281953851988,125.85880279541016,125.85880279541016,2024-07-30 06:00:00+02:00
,,,126.51233291625977,126.51233291625977,2024-07-30 18:00:00+02:00
126.07339428656232,127.92669161463613,124.31763030620428,127.16586303710938,127.16586303710938,2024-07-31 06:00:00+02:00
,,,127.26828384399414,127.26828384399414,2024-07-31 18:00:00+02:00
127.81939078156596,129.23376567796777,126.42454339141575,127.3707046508789,127.3707046508789,2024-08-01 06:00:00+02:00
,,,126.14167022705078,126.14167022705078,2024-08-01 18:00:00+02:00
126.68791236408089,127.42922830078793,124.07377163736756,124.91263580322266,124.91263580322266,2024-08-02 06:00:00+02:00
,,,123.91770553588869,123.91770553588869,2024-08-03 18:00:00+02:00
123.71287277959858,124.8053415286802,122.70818850847454,122.92277526855467,122.92277526855467,2024-08-05 06:00:00+02:00
,,,122.18145370483398,122.18145370483398,2024-08-05 18:00:00+02:00
122.96178924677946,124.64927387545886,121.36209653521118,121.44013214111328,121.44013214111328,2024-08-06 06:00:00+02:00
,,,120.8646354675293,120.8646354675293,2024-08-06 18:00:00+02:00
122.17170508616198,123.98599208039714,120.2208594959638,120.28913879394533,120.28913879394533,2024-08-07 06:00:00+02:00
,,,121.6986198425293,121.6986198425293,2024-08-07 18:00:00+02:00
120.17207641319918,123.23490316593649,120.09404825124594,123.10810089111328,123.10810089111328,2024-08-08 06:00:00+02:00
,,,122.91789627075195,122.91789627075195,2024-08-08 18:00:00+02:00
123.23490821233852,123.23490821233852,121.61571029676038,122.72769165039062,122.72769165039062,2024-08-09 06:00:00+02:00
,,,122.25949096679688,122.25949096679688,2024-08-10 18:00:00+02:00
122.91302798126328,123.02032508362726,121.50841678077856,121.79129028320312,121.79129028320312,2024-08-12 06:00:00+02:00
,,,122.58625411987305,122.58625411987305,2024-08-12 18:00:00+02:00
122.2302188475187,123.83966782634111,121.78152528866312,123.38121795654295,123.38121795654295,2024-08-13 06:00:00+02:00
,,,123.34708023071288,123.34708023071288,2024-08-13 18:00:00+02:00
123.25441952117404,123.6836079133984,122.63990586657688,123.3129425048828,123.3129425048828,2024-08-14 06:00:00+02:00
,,,124.3517723083496,124.3517723083496,2024-08-14 18:00:00+02:00
124.73706318939092,126.21970254961946,124.73706318939092,125.3906021118164,125.3906021118164,2024-08-15 06:00:00+02:00
,,,125.92707824707033,125.92707824707033,2024-08-15 18:00:00+02:00
125.35157303565536,126.86348128445366,125.2150144451441,126.46355438232422,126.46355438232422,2024-08-16 06:00:00+02:00
,,,126.92290115356444,126.92290115356444,2024-08-17 18:00:00+02:00
126.20672083864469,128.30094900349505,126.0881770621535,127.38224792480467,127.38224792480467,2024-08-19 06:00:00+02:00
,,,127.3476791381836,127.3476791381836,2024-08-19 18:00:00+02:00
127.26371522582406,127.62921202439156,126.03878544458075,127.3131103515625,127.3131103515625,2024-08-20 06:00:00+02:00
,,,126.82906341552734,126.82906341552734,2024-08-20 18:00:00+02:00
128.0737327599091,128.20215706690988,126.03878027841456,126.3450164794922,126.3450164794922,2024-08-21 06:00:00+02:00
,,,125.82146072387695,125.82146072387695,2024-08-21 18:00:00+02:00
126.62160994027678,126.62160994027678,124.60641842118493,125.29790496826172,125.29790496826172,2024-08-22 06:00:00+02:00
,,,125.85603713989258,125.85603713989258,2024-08-22 18:00:00+02:00
125.97951632570776,127.68847913514122,125.39669303712584,126.41416931152344,126.41416931152344,2024-08-23 06:00:00+02:00
,,,127.05132293701172,127.05132293701172,2024-08-24 18:00:00+02:00
127.30321870979384,128.0045932997336,126.8290586772191,127.6884765625,127.6884765625,2024-08-26 06:00:00+02:00
,,,127.0167465209961,127.0167465209961,2024-08-26 18:00:00+02:00
128.08362082861714,128.15276194319608,125.7029175544015,126.3450164794922,126.3450164794922,2024-08-27 06:00:00+02:00
,,,125.99433517456056,125.99433517456056,2024-08-27 18:00:00+02:00
126.05854579157185,127.19455831070545,125.11021816857168,125.6436538696289,125.6436538696289,2024-08-28 06:00:00+02:00
,,,125.5399284362793,125.5399284362793,2024-08-28 18:00:00+02:00
126.46355977182678,126.73026630696766,125.21887651803868,125.43620300292967,125.43620300292967,2024-08-29 06:00:00+02:00
,,,126.21166229248048,126.21166229248048,2024-08-29 18:00:00+02:00
125.9597647592366,127.1352918871051,125.34729986392496,126.98712158203124,126.98712158203124,2024-08-30 06:00:00+02:00
,,,126.46850204467772,126.46850204467772,2024-09-01 06:00:00+02:00
126.03878468915492,126.75992035940656,125.51522952067282,125.94988250732422,125.94988250732422,2024-09-03 06:00:00+02:00
,,,126.65124893188477,126.65124893188477,2024-09-03 18:00:00+02:00
126.13757366389056,127.9551997048836,125.584376903757,127.35261535644533,127.35261535644533,2024-09-04 06:00:00+02:00
,,,126.60185623168944,126.60185623168944,2024-09-04 18:00:00+02:00
127.71811071527095,127.727998784114,125.14973005312196,125.8510971069336,125.8510971069336,2024-09-05 06:00:00+02:00
,,,125.92024612426758,125.92024612426758,2024-09-05 18:00:00+02:00
126.11781191446208,126.58209895450544,125.16948430648824,125.98939514160156,125.98939514160156,2024-09-06 06:00:00+02:00
,,,126.65125274658205,126.65125274658205,2024-09-07 18:00:00+02:00
126.24623894337176,128.14289420017437,126.05854650953134,127.3131103515625,127.3131103515625,2024-09-09 06:00:00+02:00
,,,127.78233337402344,127.78233337402344,2024-09-09 18:00:00+02:00
127.85641046709112,128.56765806672303,126.9673585041892,128.25155639648438,128.25155639648438,2024-09-10 06:00:00+02:00
,,,127.59463882446288,127.59463882446288,2024-09-10 18:00:00+02:00
127.69836395828447,127.69836395828447,124.80397850718776,126.9377212524414,126.9377212524414,2024-09-11 06:00:00+02:00
,,,126.89820861816406,126.89820861816406,2024-09-11 18:00:00+02:00
127.31311003697098,127.48104140544584,125.9301294227305,126.85869598388672,126.85869598388672,2024-09-12 06:00:00+02:00
,,,126.2758674621582,126.2758674621582,2024-09-12 18:00:00+02:00
127.10565358253088,127.22418982263252,124.13225399820146,125.69303894042967,125.69303894042967,2024-09-13 06:00:00+02:00
,,,126.51789093017578,126.51789093017578,2024-09-14 18:00:00+02:00
126.63149532279704,127.93543920200862,126.4141688307158,127.34274291992188,127.34274291992188,2024-09-16 06:00:00+02:00
,,,128.20216369628906,128.20216369628906,2024-09-16 18:00:00+02:00
128.41949303678297,129.9012564179766,127.8465427205949,129.06158447265625,129.06158447265625,2024-09-17 06:00:00+02:00
,,,129.06158447265625,129.06158447265625,2024-09-17 18:00:00+02:00
129.40733529091207,130.52360186152646,128.87390710592405,129.06158447265625,129.06158447265625,2024-09-18 06:00:00+02:00
,,,129.79258728027344,129.79258728027344,2024-09-18 18:00:00+02:00
131.1360474067566,131.9460852172473,130.18771229609376,130.52359008789062,130.52359008789062,2024-09-19 06:00:00+02:00
,,,128.7800521850586,128.7800521850586,2024-09-19 18:00:00+02:00
126.93772403187972,127.6292105644799,125.00155420396122,127.03651428222656,127.03651428222656,2024-09-20 06:00:00+02:00
,,,127.10566329956056,127.10566329956056,2024-09-21 18:00:00+02:00
127.8070307322168,127.82677672377848,126.29562581092908,127.17481231689452,127.17481231689452,2024-09-23 06:00:00+02:00
,,,127.5600700378418,127.5600700378418,2024-09-23 18:00:00+02:00
127.826776443299,128.2317953685651,127.05626072235556,127.94532775878906,127.94532775878906,2024-09-24 06:00:00+02:00
,,,128.92822265625,128.92822265625,2024-09-24 18:00:00+02:00
127.96506728488202,130.20747321754877,127.66872669431942,129.91111755371094,129.91111755371094,2024-09-25 06:00:00+02:00
,,,130.81005859375,130.81005859375,2024-09-25 18:00:00+02:00
130.95824500356434,132.59805156624665,130.95824500356434,131.70899963378906,131.70899963378906,2024-09-26 06:00:00+02:00
,,,132.16834259033203,132.16834259033203,2024-09-26 18:00:00+02:00
132.34121794716145,133.9514055226311,132.34121794716145,132.627685546875,132.627685546875,2024-09-27 06:00:00+02:00
,,,132.627685546875,132.627685546875,2024-09-27 06:00:00+02:00
134.89999389648438,136.75,134.75999450683594,136.4149932861328,136.4149932861328,2024-09-30 15:30:00+02:00
136.41000366210938,136.92999267578125,135.3300018310547,136.3300018310547,136.3300018310547,2024-09-30 18:45:00+02:00
136.1300048828125,136.4550018310547,132.00999450683594,133.00999450683594,133.00999450683594,2024-10-01 15:30:00+02:00
133.0301971435547,133.8800048828125,132.64999389648438,133.2899932861328,133.2899932861328,2024-10-01 18:45:00+02:00
